City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaoma,ZM,2021-02-06 19:10:31,-14.7833,24.8,293.86,85,27,1.08
68,Kodiak,US,2021-02-06 19:10:31,57.79,-152.4072,270.15,74,1,1.54
69,Qaqortoq,GL,2021-02-06 19:10:31,60.7167,-46.0333,274.15,29,20,6.69
70,Springdale,US,2021-02-06 19:10:32,36.1867,-94.1288,282.15,46,75,4.63
71,Bambous Virieux,MU,2021-02-06 19:10:32,-20.3428,57.7575,299.82,83,20,1.54
72,Port Alfred,ZA,2021-02-06 19:10:32,-33.5906,26.891,295.93,93,82,0.89
73,Port Elizabeth,ZA,2021-02-06 19:08:04,-33.918,25.5701,294.15,94,90,4.63
74,Zholymbet,KZ,2021-02-06 19:10:32,51.7433,71.7122,273.33,98,100,12.36
75,Luderitz,NA,2021-02-06 19:10:32,-26.6481,15.1594,295.54,54,0,12.2
76,La Ronge,CA,2021-02-06 19:10:32,55.1001,-105.2842,241.15,62,51,3.09
77,Denizli,TR,2021-02-06 19:10:32,37.8402,29.0698,278.15,75,0,1.54
78,Vaini,TO,2021-02-06 19:10:32,-21.2,-175.2,298.15,83,75,2.57
79,Saint George,US,2021-02-06 19:06:43,37.1041,-113.5841,285.93,32,1,0.28
80,Cochrane,CA,2021-02-06 19:10:33,51.1834,-114.4687,253.15,77,90,3.09
81,Barrow,US,2021-02-06 19:10:33,71.2906,-156.7887,255.15,71,90,3.6
82,Ponta Do Sol,PT,2021-02-06 19:10:33,32.6667,-17.1,286.48,64,8,0.89
83,Faanui,PF,2021-02-06 19:10:33,-16.4833,-151.75,300.53,70,0,4.61
84,Honningsvag,NO,2021-02-06 19:07:43,70.9821,25.9704,271.13,92,100,11.03
85,Nantucket,US,2021-02-06 19:08:29,41.2835,-70.0995,279.26,56,1,10.29
86,Maradi,NE,2021-02-06 19:10:33,13.5,7.1017,299.15,18,100,2.06
87,Talnakh,RU,2021-02-06 19:10:33,69.4865,88.3972,239.21,75,0,1.49
88,Williams Lake,CA,2021-02-06 19:10:33,52.1415,-122.1445,271.48,86,90,4.63
89,Saldanha,ZA,2021-02-06 19:10:33,-33.0117,17.9442,293.15,77,0,5.66
90,Zaraza,VE,2021-02-06 19:09:16,9.3503,-65.3245,307.64,32,100,3.05
91,Hasaki,JP,2021-02-06 19:10:34,35.7333,140.8333,275.15,93,20,1.03
92,General Cepeda,MX,2021-02-06 19:10:34,25.3833,-101.45,297.15,29,1,5.14
93,Neiafu,TO,2021-02-06 19:10:34,-18.65,-173.9833,299.15,94,75,3.6
94,Nome,US,2021-02-06 19:10:34,64.5011,-165.4064,264.15,86,90,0.97
95,Jamestown,US,2021-02-06 19:09:41,42.097,-79.2353,268.15,53,1,10.29
96,Karasjok,NO,2021-02-06 19:10:34,69.4719,25.5112,267.15,79,20,8.23
97,Sao Raimundo Nonato,BR,2021-02-06 19:08:49,-9.0153,-42.6994,300.99,71,72,3.38
